1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	
17	1	4	7	10	13	16	19	3	6	9	12	15	18	2	5	8	11	14	
18	2	5	8	11	14	17	1	4	7	10	13	16	19	3	6	9	12	15	
19	3	6	9	12	15	18	2	5	8	11	14	17	1	4	7	10	13	16	
1	5	9	13	17	2	6	10	14	18	3	7	11	15	19	4	8	12	16	
2	6	10	14	18	3	7	11	15	19	4	8	12	16	1	5	9	13	17	
3	7	11	15	19	4	8	12	16	1	5	9	13	17	2	6	10	14	18	
4	8	12	16	1	5	9	13	17	2	6	10	14	18	3	7	11	15	19	
5	9	13	17	2	6	10	14	18	3	7	11	15	19	4	8	12	16	1	
6	10	14	18	3	7	11	15	19	4	8	12	16	1	5	9	13	17	2	
7	11	15	19	4	8	12	16	1	5	9	13	17	2	6	10	14	18	3	
8	12	16	1	5	9	13	17	2	6	10	14	18	3	7	11	15	19	4	
9	13	17	2	6	10	14	18	3	7	11	15	19	4	8	12	16	1	5	
10	14	18	3	7	11	15	19	4	8	12	16	1	5	9	13	17	2	6	
11	15	19	4	8	12	16	1	5	9	13	17	2	6	10	14	18	3	7	
12	16	1	5	9	13	17	2	6	10	14	18	3	7	11	15	19	4	8	
13	17	2	6	10	14	18	3	7	11	15	19	4	8	12	16	1	5	9	
14	18	3	7	11	15	19	4	8	12	16	1	5	9	13	17	2	6	10	
15	19	4	8	12	16	1	5	9	13	17	2	6	10	14	18	3	7	11	
16	1	5	9	13	17	2	6	10	14	18	3	7	11	15	19	4	8	12	
17	2	6	10	14	18	3	7	11	15	19	4	8	12	16	1	5	9	13	
18	3	7	11	15	19	4	8	12	16	1	5	9	13	17	2	6	10	14	
19	4	8	12	16	1	5	9	13	17	2	6	10	14	18	3	7	11	15	
